rup_id	involved_faults
0	0 
1	1 
2	2 
3	3 
4	4 
5	5 
6	6 
7	7 
8	8 
9	9 
10	10 
11	11 
12	12 
13	13 
14	0 1 
15	0 1 2 
16	0 1 2 3 
17	0 1 2 3 4 
18	0 1 2 3 4 5 
19	1 2 
20	1 2 3 
21	1 2 3 4 
22	1 2 3 4 5 
23	2 3 
24	2 3 4 
25	2 3 4 5 
26	3 4 
27	3 4 5 
28	4 5 
29	6 7 
30	6 7 8 
31	7 8 
32	9 10 
33	9 10 11 
34	9 10 11 12 
35	9 10 11 12 13 
36	10 11 
37	10 11 12 
38	10 11 12 13 
39	11 12 
40	11 12 13 
41	12 13 
42	6 9 
43	6 9 10 
44	6 9 10 11 
45	6 9 10 11 12 
46	6 9 10 11 12 13 
47	6 7 9 
48	6 7 9 10 
49	6 7 9 10 11 
50	6 7 9 10 11 12 
51	6 7 9 10 11 12 13 
52	6 7 8 9 
53	6 7 8 9 10 
54	6 7 8 9 10 11 
55	6 7 8 9 10 11 12 
56	6 7 8 9 10 11 12 13 
