rup_id	involved_faults
0	0 
1	1 
2	2 
3	3 
4	4 
5	5 
6	6 
7	7 
8	8 
9	9 
10	10 
11	11 
12	12 
13	13 
14	0 1 
15	1 2 
16	0 1 2 
17	2 3 
18	1 2 3 
19	0 1 2 3 
20	3 4 
21	2 3 4 
22	1 2 3 4 
23	0 1 2 3 4 
24	4 5 
25	3 4 5 
26	2 3 4 5 
27	1 2 3 4 5 
28	0 1 2 3 4 5 
29	6 7 
30	6 9 
31	6 7 9 
32	7 8 
33	6 7 8 
34	6 7 8 9 
35	9 10 
36	6 9 10 
37	6 7 9 10 
38	6 7 8 9 10 
39	10 11 
40	9 10 11 
41	6 9 10 11 
42	6 7 9 10 11 
43	6 7 8 9 10 11 
44	11 12 
45	10 11 12 
46	9 10 11 12 
47	6 9 10 11 12 
48	6 7 9 10 11 12 
49	6 7 8 9 10 11 12 
50	12 13 
51	11 12 13 
52	10 11 12 13 
53	9 10 11 12 13 
54	6 9 10 11 12 13 
55	6 7 9 10 11 12 13 
56	6 7 8 9 10 11 12 13 
