rup_id	involved_faults
0	0 
1	1 
2	2 
3	3 
4	4 
5	5 
6	6 
7	7 
8	8 
9	9 
10	10 
11	11 
12	12 
13	13 
14	14 
15	15 
16	0 1 
17	0 1 2 
18	0 1 2 3 
19	0 1 2 3 4 
20	0 1 2 3 4 5 
21	1 2 
22	1 2 3 
23	1 2 3 4 
24	1 2 3 4 5 
25	2 3 
26	2 3 4 
27	2 3 4 5 
28	3 4 
29	3 4 5 
30	4 5 
31	6 7 
32	6 7 8 
33	6 7 8 9 
34	7 8 
35	7 8 9 
36	8 9 
37	10 11 
38	10 11 12 
39	10 11 12 13 
40	10 11 12 13 14 
41	10 11 12 13 14 15 
42	11 12 
43	11 12 13 
44	11 12 13 14 
45	11 12 13 14 15 
46	12 13 
47	12 13 14 
48	12 13 14 15 
49	13 14 
50	13 14 15 
51	14 15 
52	6 10 
53	6 10 11 
54	6 10 11 12 
55	6 10 11 12 13 
56	6 10 11 12 13 14 
57	6 10 11 12 13 14 15 
58	6 7 10 
59	6 7 10 11 
60	6 7 10 11 12 
61	6 7 10 11 12 13 
62	6 7 10 11 12 13 14 
63	6 7 10 11 12 13 14 15 
64	6 7 8 10 
65	6 7 8 10 11 
66	6 7 8 10 11 12 
67	6 7 8 10 11 12 13 
68	6 7 8 10 11 12 13 14 
69	6 7 8 10 11 12 13 14 15 
70	6 7 8 9 10 
71	6 7 8 9 10 11 
72	6 7 8 9 10 11 12 
73	6 7 8 9 10 11 12 13 
74	6 7 8 9 10 11 12 13 14 
75	6 7 8 9 10 11 12 13 14 15 
