Model_used	lon	lat
CHN0	73.42058	40.17787
CHN0	75.54487	39.95027
CHN0	82.52467	37.06731
CHN0	87.98712	39.49506
CHN0	97.77402	40.78481
CHN0	103.61581	39.26746
CHN0	106.80225	41.08828
CHN0	107.25745	37.37078
CHN0	108.09199	33.80501
CHN0	104.14689	28.49429
CHN0	104.60209	24.47331
CHN0	106.72638	21.66622
CHN0	98.91203	18.55565
CHN0	91.93223	19.6178
CHN0	90.64248	23.3353
CHN0	89.12513	25.38372
CHN0	79.41410	27.58388
CHN0	72.35843	33.88087
CHN0	74.25512	34.56368
CHN0	78.27609	32.51526
CHN0	71.90323	37.29491
