model_name	fault_name	longitude	latitude	type
Example_Model	F1	21.8461481	38.32598913	sf
Example_Model	F1	21.84745563	38.32597968	sf
Example_Model	F1	21.8494889	38.32590774	sf
Example_Model	F1	21.85130491	38.32589457	sf
Example_Model	F1	21.85341081	38.32582203	sf
Example_Model	F1	21.85508153	38.32580986	sf
Example_Model	F1	21.85711547	38.32579501	sf
Example_Model	F1	21.8590754	38.32566621	sf
Example_Model	F1	21.86096404	38.32565235	sf
Example_Model	F1	21.86372436	38.32563205	sf
Example_Model	F1	21.86495924	38.32562295	sf
Example_Model	F1	21.86684855	38.32566622	sf
Example_Model	F1	21.86815744	38.32577099	sf
Example_Model	F1	21.86997412	38.32581475	sf
Example_Model	F1	21.87135565	38.32591895	sf
Example_Model	F1	21.87288247	38.32602204	sf
Example_Model	F1	21.87433665	38.32612566	sf
Example_Model	F1	21.87600737	38.32611319	sf
Example_Model	F1	21.87788911	38.32552684	sf
Example_Model	F1	21.87883066	38.32529088	sf
Example_Model	F1	21.88042596	38.32505	sf
Example_Model	F1	21.88238235	38.3246347	sf
Example_Model	F1	21.88521178	38.32432724	sf
Example_Model	F1	21.8865919	38.32431681	sf
Example_Model	F1	21.88855313	38.32430196	sf
Example_Model	F1	21.89000589	38.32429094	sf
Example_Model	F1	21.89139093	38.32468101	sf
Example_Model	F1	21.89306652	38.32506885	sf
Example_Model	F1	21.89423507	38.32557498	sf
Example_Model	F1	21.89525765	38.326025	sf
Example_Model	F1	21.89613356	38.32636167	sf
Example_Model	F1	21.8970807	38.32658333	sf
Example_Model	F1	21.89788115	38.32669166	sf
Example_Model	F1	21.89890024	38.32685553	sf
Example_Model	F1	21.90034809	38.32644383	sf
Example_Model	F1	21.90208223	38.32568655	sf
Example_Model	F1	21.90432409	38.32486809	sf
Example_Model	F1	21.90569995	38.32451411	sf
Example_Model	F1	21.90729727	38.32444453	sf
Example_Model	F1	21.90831706	38.32466554	sf
Example_Model	F1	21.90985247	38.32545482	sf
Example_Model	F1	21.91050909	38.32567863	sf
Example_Model	F1	21.91153033	38.32601406	sf
Example_Model	F1	21.9127652	38.32600445	sf
Example_Model	F1	21.91443016	38.32553366	sf
Example_Model	F1	21.91602317	38.32512063	sf
Example_Model	F1	21.91776216	38.32476367	sf
Example_Model	F1	21.91914156	38.32469563	sf
Example_Model	F1	21.92051951	38.32451314	sf
Example_Model	F1	21.92160835	38.32444736	sf
Example_Model	F1	21.92291583	38.32443707	sf
Example_Model	F1	21.9242233	38.32442677	sf
Example_Model	F1	21.92605089	38.32532799	sf
Example_Model	F1	21.92765623	38.32588756	sf
Example_Model	F1	21.92962552	38.32650146	sf
Example_Model	F1	21.93210552	38.32728295	sf
Example_Model	F1	21.93378359	38.32784187	sf
Example_Model	F1	21.9361822	38.32793719	sf
Example_Model	F1	21.93879727	38.32791628	sf
Example_Model	F1	21.94046727	38.32784567	sf
Example_Model	F1	21.9414872	38.32806639	sf
Example_Model	F1	21.94302081	38.32868356	sf
Example_Model	F1	21.94404373	38.32913314	sf
Example_Model	F2	21.94856271	38.3307428	sf
Example_Model	F2	21.95182168	38.32995336	sf
Example_Model	F2	21.95411452	38.32936245	sf
Example_Model	F2	21.95749192	38.32838113	sf
Example_Model	F2	21.95978215	38.32759937	sf
Example_Model	F2	21.96412412	38.32632383	sf
Example_Model	F2	21.96617335	38.32563931	sf
Example_Model	F2	21.96834106	38.32476302	sf
Example_Model	F2	21.97147211	38.3234972	sf
Example_Model	F2	21.97327525	38.32252845	sf
Example_Model	F2	21.9762825	38.32107278	sf
Example_Model	F2	21.9791673	38.31952267	sf
Example_Model	F2	21.98241641	38.31806481	sf
Example_Model	F2	21.98674189	38.31564403	sf
Example_Model	F2	21.9881776	38.31439201	sf
Example_Model	F2	21.99044889	38.31227453	sf
Example_Model	F2	21.99236603	38.31082764	sf
Example_Model	F2	21.994287	38.30966682	sf
Example_Model	F2	22.02606426	38.28666325	sf
Example_Model	F2	22.06397743	38.26930886	sf
Example_Model	F3	22.05961536	38.25884708	sf
Example_Model	F3	22.06543295	38.25750808	sf
Example_Model	F3	22.06825419	38.25654741	sf
Example_Model	F3	22.07022359	38.25595302	sf
Example_Model	F3	22.07261358	38.25532192	sf
Example_Model	F3	22.07562141	38.254841	sf
Example_Model	F3	22.0797003	38.25442634	sf
Example_Model	F3	22.08473054	38.25415112	sf
Example_Model	F3	22.08989338	38.25365961	sf
Example_Model	F3	22.09540141	38.25263404	sf
Example_Model	F3	22.09849046	38.25193547	sf
Example_Model	F3	22.10541542	38.25057745	sf
Example_Model	F3	22.11320908	38.24957295	sf
Example_Model	F3	22.12164296	38.2484667	sf
Example_Model	F3	22.1269779	38.24781712	sf
Example_Model	F3	22.13098639	38.24735897	sf
