Year	Mo	Da	Ho	Lat	Lon	H	Mw	MwUnc	McModel2
1000	3	29	0	50.183	4.237	NaN	3.73	0.3	0
1003	1	1	0	40.5	43.3	NaN	NaN	NaN	0
1003	3	21	0	37.1	38.8	NaN	6.21	0.5	0
1005	1	1	0	43.463	11.879	NaN	5.2	0.33	0
1005	1	1	0	41.488	13.831	NaN	5.2	0.33	0
1007	1	1	0	40.5	43.3	NaN	NaN	NaN	0
1009	1	1	0	36	-10.7	NaN	NaN	NaN	0
1010	1	1	0	41.008	28.98	NaN	5.44	0.33	0
1010	3	9	0	40.8	28.8	NaN	5.88	0.46	0
1011	1	1	0	39.8	39.5	NaN	NaN	NaN	0
1012	1	1	0	39.1	42.5	NaN	NaN	NaN	0
1013	11	18	0	50.65	5.583	NaN	3.48	0.3	0
1014	1	1	0	45.65	0.15	NaN	5.44	0.3	0
1016	1	1	0	40.66	43.76	NaN	6.09	0.3	0
1019	4	1	0	41.129	14.777	NaN	4.72	0.34	0
1021	5	12	0	48.073	10.576	NaN	3.85	0.3	0
1022	10	3	0	40.5	43.57	NaN	NaN	NaN	0
1024	1	1	0	37.6	-5.3	NaN	NaN	NaN	0
1026	12	4	0	41.008	28.98	NaN	6.24	0.3	0
1031	1	1	0	36.33	43.11	NaN	6.3	0.3	0
1032	8	13	17	41.008	28.98	NaN	5.83	0.33	0
1033	3	6	7	41.008	28.98	NaN	5.02	0.33	0
1035	5	23	0	51.778	9.409	NaN	3.48	0.3	0
1035	5	1	0	41	29	NaN	5.82	0.5	0
1036	1	1	0	40.5	43.57	NaN	NaN	NaN	0
1037	11	2	0	41.008	28.98	NaN	NaN	NaN	0
1037	12	18	4	37.1	38.8	NaN	5.82	0.5	0
1038	1	1	0	41.008	28.98	NaN	4.86	0.33	0
1040	2	2	0	38.416	27.137	NaN	6.52	0.33	0
1041	6	10	17	41.008	28.98	NaN	5.16	0.33	0
1043	1	1	0	40.8	43.8	NaN	NaN	NaN	0
1044	4	19	9	41.129	14.777	NaN	4.72	0.34	0
1045	1	1	0	39.75	39.5	NaN	6.77	0.5	0
1046	1	1	0	40.5	43.5	NaN	6.21	0.5	0
1046	11	9	0	46.166	11.106	NaN	NaN	NaN	0
1048	1	1	0	38.037	-1.036	NaN	5.49	0.41	0
1048	10	13	0	48.494	11.393	NaN	3.48	0.3	0
1050	8	4	0	40.65	35.85	NaN	6.21	0.5	0
1053	1	1	0	36.25	36.1	NaN	6.21	0.5	0
1056	1	1	0	38.4	27.15	NaN	NaN	NaN	0
1058	1	1	0	36.3	43.1	NaN	6.21	0.5	0
1058	12	2	0	36.33	43.11	NaN	6.9	0.3	1
1063	2	19	0	41	29	NaN	NaN	NaN	0
1064	1	1	0	40.5	43.57	NaN	NaN	NaN	0
