section;wkt
0;LINESTRING(88.62168 33.02097,88.62168 33.02097)
1;LINESTRING(88.62168 33.02097,88.62168 33.02097)
14;LINESTRING(77.210129 30.485361,77.210129 30.485361)
14;LINESTRING(77.210129 30.485361,77.261231 30.457226)
15;LINESTRING(77.210129 30.485361,77.210129 30.485361)
16;LINESTRING(77.261231 30.457226,77.210129 30.485361)
20;LINESTRING(78.235709 29.856854,78.316501 29.855372)
20;LINESTRING(78.235709 29.856854,78.316501 29.855372)
21;LINESTRING(79.213583 29.315079,79.229312 29.363597)
26;LINESTRING(81.861948 28.160503,81.769794 28.044049)
27;LINESTRING(81.769794 28.044049,81.861948 28.160503)
32;LINESTRING(83.932778 27.447778,83.932778 27.447778)
33;LINESTRING(78.316501 29.855372,78.235709 29.856854)
34;LINESTRING(78.316501 29.855372,78.235709 29.856854)
37;LINESTRING(79.229312 29.363597,79.213583 29.315079)
38;LINESTRING(83.932778 27.447778,83.932778 27.447778)
42;LINESTRING(84.935681 27.293597,84.935681 27.293597)
42;LINESTRING(84.935681 27.293597,85.000674 27.281488)
43;LINESTRING(84.935681 27.293597,84.935681 27.293597)
44;LINESTRING(85.000674 27.281488,84.935681 27.293597)
47;LINESTRING(85.897948 27.044167,85.928387 26.987155)
48;LINESTRING(85.928387 26.987155,85.897948 27.044167)
50;LINESTRING(86.56636 26.792018,86.587348 26.823692)
51;LINESTRING(86.587348 26.823692,86.56636 26.792018)
56;LINESTRING(88.687438 26.879607,88.687438 26.879607)
57;LINESTRING(88.687438 26.879607,88.687438 26.879607)
62;LINESTRING(89.914366 26.711132,89.914366 26.711132)
63;LINESTRING(91.875563 26.855116,91.875563 26.855116)
68;LINESTRING(93.728301 26.996483,93.728301 26.996483)
69;LINESTRING(93.728301 26.996483,93.728301 26.996483)
75;LINESTRING(76.556982 35.9976,76.556982 35.9976)
80;LINESTRING(77.837949 34.301756,77.837949 34.301756)
80;LINESTRING(77.837949 34.301756,77.837949 34.301756)
81;LINESTRING(77.837949 34.301756,77.837949 34.301756)
81;LINESTRING(77.837949 34.301756,77.837949 34.301756)
84;LINESTRING(78.670314 33.546597,78.720021 33.505046)
85;LINESTRING(78.720021 33.505046,78.720021 33.505046)
