section;wkt
0;LINESTRING(-69.90596 19.800733,-69.91817 19.812943)
6;LINESTRING(-71.59827 20.23541,-71.603154 20.220758)
11;LINESTRING(-69.91817 19.812943,-69.90596 19.800733)
17;LINESTRING(-71.603154 20.220758,-71.59827 20.23541)
18;LINESTRING(-68.007401 17.280548,-68.02041183333333 17.200766333333334)
18;LINESTRING(-68.246323 17.287282,-68.27384957142857 17.211039857142858)
18;LINESTRING(-68.007401 17.280548,-67.985123 17.196744)
19;LINESTRING(-68.246323 17.287282,-68.23935528571428 17.20497142857143)
19;LINESTRING(-68.435556 17.290896,-68.446321 17.241382)
19;LINESTRING(-68.46964585714286 17.29339014285714,-68.48954533333333 17.24361766666667)
20;LINESTRING(-68.50373571428571 17.295884285714287,-68.48954533333333 17.24361766666667)
20;LINESTRING(-68.53782557142857 17.29837842857143,-68.53276966666667 17.245853333333333)
20;LINESTRING(-68.7380221111111 17.31679833333333,-68.75857983333333 17.235047333333334)
21;LINESTRING(-68.7380221111111 17.31679833333333,-68.72206266666666 17.237655666666665)
21;LINESTRING(-68.7380221111111 17.31679833333333,-68.75857983333333 17.235047333333334)
23;LINESTRING(-69.391598 17.438524,-69.389307 17.419065)
24;LINESTRING(-69.389307 17.419065,-69.391598 17.438524)
30;LINESTRING(-68.02041183333333 17.200766333333334,-68.007401 17.280548)
30;LINESTRING(-68.23935528571428 17.20497142857143,-68.246323 17.287282)
30;LINESTRING(-67.983522 17.201139,-67.985123 17.196744)
31;LINESTRING(-68.27384957142857 17.211039857142858,-68.246323 17.287282)
31;LINESTRING(-68.446321 17.241382,-68.435556 17.290896)
31;LINESTRING(-68.48954533333333 17.24361766666667,-68.50373571428571 17.295884285714287)
32;LINESTRING(-68.48954533333333 17.24361766666667,-68.46964585714286 17.29339014285714)
32;LINESTRING(-68.53276966666667 17.245853333333333,-68.53782557142857 17.29837842857143)
32;LINESTRING(-68.72206266666666 17.237655666666665,-68.7380221111111 17.31679833333333)
33;LINESTRING(-68.75857983333333 17.235047333333334,-68.7380221111111 17.31679833333333)
33;LINESTRING(-68.75857983333333 17.235047333333334,-68.7380221111111 17.31679833333333)
35;LINESTRING(-69.416633 17.319633,-69.413839 17.323546)
36;LINESTRING(-70.710569 17.900367,-70.683015 17.952766)
41;LINESTRING(-69.413839 17.323546,-69.416633 17.319633)
42;LINESTRING(-67.985123 17.196744,-68.007401 17.280548)
42;LINESTRING(-67.985123 17.196744,-67.983522 17.201139)
48;LINESTRING(-71.051763 19.800944,-71.061838 19.798327)
53;LINESTRING(-71.611802 19.916699,-71.56679249999999 19.991729)
53;LINESTRING(-71.57505325 19.90362825,-71.51728 19.965096)
53;LINESTRING(-71.57505325 19.90362825,-71.584619 19.828065)
54;LINESTRING(-71.57505325 19.90362825,-71.56679249999999 19.991729)
54;LINESTRING(-71.410334 19.83978,-71.382083 19.903799)
