#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T16:57:54', checksum=456785265, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0070015,poe-0.0098041,poe-0.0137286,poe-0.0192240,poe-0.0269192,poe-0.0376948,poe-0.0527836,poe-0.0739125,poe-0.1034991,poe-0.1449289,poe-0.2029427,poe-0.2841789,poe-0.3979333,poe-0.5572227,poe-0.7802743,poe-1.0926116,poe-1.5299748,poe-2.1424109,poe-3.0000000
101.99498,28.90622,0.00000,3.636789E-02,2.076741E-02,1.121856E-02,5.702086E-03,2.710856E-03,1.196473E-03,4.847418E-04,1.763399E-04,5.525506E-05,1.399954E-05,2.640122E-06,2.799357E-07,1.437979E-08,2.301776E-09,3.325690E-10,6.653811E-11,2.131106E-11,5.375256E-12,8.597567E-13,6.838974E-14
101.99519,29.04111,0.00000,3.589356E-02,2.104337E-02,1.176103E-02,6.237187E-03,3.120493E-03,1.464098E-03,6.375540E-04,2.526783E-04,8.822636E-05,2.574829E-05,5.973973E-06,9.886378E-07,1.138792E-07,2.133708E-08,4.181797E-09,7.290214E-10,1.160672E-10,2.554901E-11,5.715539E-12,6.834533E-13
101.99538,29.17601,0.00000,3.649793E-02,2.208013E-02,1.282801E-02,7.122845E-03,3.758514E-03,1.872208E-03,8.726037E-04,3.746116E-04,1.449665E-04,4.903040E-05,1.420818E-05,3.614172E-06,8.587608E-07,2.347377E-07,6.189562E-08,1.639031E-08,4.123107E-09,8.619160E-10,1.273549E-10,8.762324E-12
101.99559,29.31091,0.00000,3.806486E-02,2.383056E-02,1.441561E-02,8.379984E-03,4.650314E-03,2.443743E-03,1.206103E-03,5.533093E-04,2.329845E-04,8.918437E-05,3.108517E-05,1.041224E-05,3.530129E-06,1.269461E-06,4.289067E-07,1.217168E-07,2.920729E-08,5.358803E-09,6.079591E-10,3.723977E-11
101.99580,29.44581,0.00000,4.044809E-02,2.625644E-02,1.651544E-02,1.000550E-02,5.787959E-03,3.164016E-03,1.617483E-03,7.646821E-04,3.297576E-04,1.280353E-04,4.410360E-05,1.363228E-05,3.960652E-06,1.154564E-06,3.408676E-07,9.210238E-08,2.197672E-08,4.268883E-09,5.459128E-10,3.917733E-11
101.99600,29.58071,0.00000,4.385702E-02,2.945667E-02,1.919154E-02,1.204090E-02,7.204294E-03,4.056925E-03,2.123693E-03,1.020518E-03,4.431038E-04,1.707076E-04,5.695265E-05,1.591412E-05,3.741311E-06,7.673315E-07,1.886458E-07,4.800009E-08,1.067176E-08,1.910068E-09,2.342208E-10,1.713518E-11
101.99621,29.71560,0.00000,4.822570E-02,3.338727E-02,2.241789E-02,1.448748E-02,8.918113E-03,5.156530E-03,2.762918E-03,1.351652E-03,5.953043E-04,2.314448E-04,7.748695E-05,2.117624E-05,4.477632E-06,6.552401E-07,9.371102E-08,2.215760E-08,4.641460E-09,8.350317E-10,1.191830E-10,1.328937E-11
101.99641,29.85050,0.00000,5.420457E-02,3.868604E-02,2.677480E-02,1.785074E-02,1.134753E-02,6.787657E-03,3.763534E-03,1.905670E-03,8.684489E-04,3.500101E-04,1.217677E-04,3.513692E-05,7.720225E-06,1.123199E-06,6.806945E-08,9.799927E-09,1.992653E-09,3.767993E-10,6.421152E-11,7.702172E-12
101.99663,29.98540,0.00000,5.994327E-02,4.381740E-02,3.103981E-02,2.118779E-02,1.381120E-02,8.492967E-03,4.853257E-03,2.537403E-03,1.195262E-03,4.987898E-04,1.802417E-04,5.473590E-05,1.292872E-05,2.093376E-06,1.323126E-07,4.144109E-09,7.694113E-10,1.366912E-10,2.142198E-11,2.358225E-12
101.99684,30.12030,0.00000,6.346741E-02,4.697440E-02,3.364212E-02,2.319470E-02,1.527342E-02,9.491252E-03,5.489824E-03,2.907641E-03,1.388690E-03,5.881221E-04,2.160465E-04,6.694398E-05,1.642529E-05,2.817769E-06,2.109618E-07,3.188916E-09,5.404829E-10,8.142775E-11,1.363010E-11,2.115752E-12
101.99706,30.25520,0.00000,6.354721E-02,4.700014E-02,3.356798E-02,2.302643E-02,1.505046E-02,9.267759E-03,5.303665E-03,2.775767E-03,1.308631E-03,5.461948E-04,1.972035E-04,5.990808E-05,1.425567E-05,2.359831E-06,1.687957E-07,6.917509E-09,1.490727E-09,2.701018E-10,3.943912E-11,4.641509E-12
101.99727,30.39010,0.00000,6.054591E-02,4.432613E-02,3.123990E-02,2.106850E-02,1.348163E-02,8.094547E-03,4.499394E-03,2.281626E-03,1.038427E-03,4.161443E-04,1.430330E-04,4.066683E-05,8.731457E-06,1.235728E-06,5.561304E-08,4.191926E-09,8.377078E-10,1.570455E-10,2.576295E-11,2.578493E-12
101.99749,30.52500,0.00000,5.684569E-02,4.113795E-02,2.856880E-02,1.890732E-02,1.182534E-02,6.911794E-03,3.728872E-03,1.829101E-03,8.016495E-04,3.065836E-04,9.912642E-05,2.565310E-05,4.797843E-06,5.131555E-07,1.278495E-08,1.680131E-09,2.716922E-10,3.817047E-11,3.810730E-12,1.881828E-13
101.99770,30.65989,0.00000,5.272170E-02,3.766499E-02,2.574452E-02,1.670669E-02,1.020561E-02,5.808021E-03,3.043246E-03,1.444969E-03,6.085134E-04,2.208289E-04,6.617951E-05,1.521143E-05,2.369616E-06,1.628879E-07,3.791535E-09,5.828741E-10,7.887280E-11,9.139245E-12,8.057999E-13,6.106227E-14
101.99792,30.79479,0.00000,4.856729E-02,3.422604E-02,2.300815E-02,1.464252E-02,8.745267E-03,4.856399E-03,2.477337E-03,1.139634E-03,4.605613E-04,1.577238E-04,4.316899E-05,8.661561E-06,1.035743E-06,3.440745E-08,1.149039E-09,1.508529E-10,2.129974E-11,3.659850E-12,5.195844E-13,2.986500E-14
101.99815,30.92969,0.00000,4.521183E-02,3.147429E-02,2.085932E-02,1.306170E-02,7.663378E-03,4.174964E-03,2.084980E-03,9.340119E-04,3.638403E-04,1.181114E-04,2.983049E-05,5.269322E-06,4.727763E-07,6.929940E-09,2.766759E-10,4.029910E-11,9.059420E-12,1.864620E-12,2.216005E-13,5.551115E-15
101.99837,31.06459,0.00000,4.185960E-02,2.872458E-02,1.874015E-02,1.153838E-02,6.651325E-03,3.556870E-03,1.738025E-03,7.569429E-04,2.835187E-04,8.693260E-05,2.023524E-05,3.134446E-06,2.141883E-07,6.880606E-09,7.745304E-11,1.526257E-11,3.798406E-12,7.371881E-13,5.784262E-14,0.000000E+00
101.99859,31.19949,0.00000,3.863018E-02,2.609991E-02,1.674991E-02,1.014033E-02,5.745705E-03,3.017742E-03,1.443058E-03,6.104842E-04,2.199490E-04,6.400912E-05,1.401540E-05,2.024234E-06,1.725497E-07,1.650222E-08,8.157377E-10,5.738854E-12,1.360023E-12,2.785550E-13,3.663736E-14,0.000000E+00
101.99882,31.33438,0.00000,3.577141E-02,2.381119E-02,1.504302E-02,8.963213E-03,5.000131E-03,2.582696E-03,1.210231E-03,4.990427E-04,1.741923E-04,4.925236E-05,1.076393E-05,1.708847E-06,2.568774E-07,3.706960E-08,3.139181E-09,3.601675E-12,1.103673E-12,2.640110E-13,4.518608E-14,0.000000E+00
101.99905,31.46928,0.00000,3.339983E-02,2.192526E-02,1.365665E-02,8.021874E-03,4.414995E-03,2.250031E-03,1.039502E-03,4.229517E-04,1.464821E-04,4.217841E-05,9.977774E-06,2.012528E-06,4.231509E-07,7.340046E-08,8.307280E-09,1.850367E-10,4.130030E-14,0.000000E+00,0.000000E+00,0.000000E+00
101.99928,31.60418,0.00000,3.148280E-02,2.040018E-02,1.253797E-02,7.271226E-03,3.955660E-03,1.995052E-03,9.146854E-04,3.716206E-04,1.305831E-04,3.963006E-05,1.055015E-05,2.643635E-06,6.585382E-07,1.315478E-07,1.835492E-08,1.309181E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.99950,31.73908,0.00000,2.982637E-02,1.908289E-02,1.157915E-02,6.634107E-03,3.569186E-03,1.783445E-03,8.130844E-04,3.314992E-04,1.195863E-04,3.885649E-05,1.171000E-05,3.432892E-06,9.439730E-07,2.062389E-07,3.243652E-08,3.069008E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.99973,31.87398,0.00000,2.830024E-02,1.787857E-02,1.071117E-02,6.062281E-03,3.224814E-03,1.596277E-03,7.247237E-04,2.980086E-04,1.115750E-04,3.911070E-05,1.314424E-05,4.260803E-06,1.220553E-06,2.727437E-07,4.262764E-08,3.481907E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.99997,32.00888,0.00000,2.693505E-02,1.680867E-02,9.947824E-03,5.563823E-03,2.927063E-03,1.436336E-03,6.511183E-04,2.718275E-04,1.064803E-04,4.017015E-05,1.464578E-05,4.988568E-06,1.433732E-06,3.136525E-07,4.482208E-08,2.342627E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
102.14908,28.90622,0.00000,4.654569E-02,2.680515E-02,1.456207E-02,7.428897E-03,3.538647E-03,1.562272E-03,6.327284E-04,2.307413E-04,7.308564E-05,1.891782E-05,3.726749E-06,4.370258E-07,1.952150E-08,2.634732E-09,3.216738E-10,3.750678E-11,7.616352E-12,1.374900E-12,1.628697E-13,9.214851E-15
102.14948,29.04111,0.00000,4.531801E-02,2.667042E-02,1.493080E-02,7.924721E-03,3.968018E-03,1.863571E-03,8.137595E-04,3.249071E-04,1.153135E-04,3.460997E-05,8.302379E-06,1.465223E-06,1.601021E-07,2.526788E-08,4.827134E-09,7.890713E-10,9.522638E-11,1.070033E-11,1.701750E-12,1.716405E-13
102.14989,29.17601,0.00000,4.516120E-02,2.742003E-02,1.598477E-02,8.915382E-03,4.733888E-03,2.376044E-03,1.119115E-03,4.879421E-04,1.930408E-04,6.745751E-05,2.021344E-05,5.242553E-06,1.201574E-06,2.916721E-07,6.605466E-08,1.357056E-08,2.476228E-09,3.335103E-10,2.565104E-11,1.015410E-12
102.15029,29.31091,0.00000,4.673532E-02,2.942522E-02,1.793237E-02,1.053529E-02,5.928780E-03,3.170338E-03,1.598443E-03,7.536923E-04,3.291855E-04,1.325457E-04,4.921153E-05,1.742753E-05,6.156917E-06,2.190241E-06,7.374982E-07,2.043845E-07,4.444104E-08,7.059163E-09,5.335922E-10,1.831046E-11
102.15070,29.44581,0.00000,4.975455E-02,3.263803E-02,2.082822E-02,1.286014E-02,7.623035E-03,4.290085E-03,2.269754E-03,1.119700E-03,5.107502E-04,2.143420E-04,8.280252E-05,2.972155E-05,1.031886E-05,3.505885E-06,1.156875E-06,3.305717E-07,7.816336E-08,1.436268E-08,1.721571E-09,1.138659E-10
102.15112,29.58071,0.00000,5.433474E-02,3.710697E-02,2.469717E-02,1.591816E-02,9.843756E-03,5.765790E-03,3.156777E-03,1.596693E-03,7.387263E-04,3.095143E-04,1.167920E-04,3.947386E-05,1.216352E-05,3.558688E-06,1.054357E-06,2.939947E-07,6.954410E-08,1.311954E-08,1.779851E-09,1.166343E-10
102.15154,29.71560,0.00000,6.053816E-02,4.291807E-02,2.964604E-02,1.982770E-02,1.271373E-02,7.713973E-03,4.358334E-03,2.261304E-03,1.061971E-03,4.452936E-04,1.643466E-04,5.270471E-05,1.426081E-05,3.333614E-06,7.314171E-07,1.865086E-07,4.308486E-08,7.973989E-09,1.027906E-09,7.707290E-11
102.15195,29.85050,0.00000,6.774195E-02,4.963306E-02,3.538129E-02,2.440638E-02,1.614553E-02,1.011294E-02,5.903973E-03,3.158641E-03,1.523476E-03,6.517337E-04,2.428493E-04,7.736001E-05,2.027982E-05,4.101045E-06,5.980940E-07,1.047375E-07,2.441652E-08,4.751127E-09,6.650039E-10,5.426681E-11
102.15237,29.98540,0.00000,7.711722E-02,5.858590E-02,4.324993E-02,3.091462E-02,2.124959E-02,1.390244E-02,8.534241E-03,4.834093E-03,2.481558E-03,1.133632E-03,4.524297E-04,1.541146E-04,4.377303E-05,9.560217E-06,1.375241E-06,8.182730E-08,1.179110E-08,2.192673E-09,3.035930E-10,2.544243E-11
102.15279,30.12030,0.00000,8.262287E-02,6.393547E-02,4.799039E-02,3.484745E-02,2.435363E-02,1.623486E-02,1.019519E-02,5.938124E-03,3.147479E-03,1.491953E-03,6.191576E-04,2.197321E-04,6.493741E-05,1.516669E-05,2.397556E-06,1.528015E-07,7.072749E-09,1.270061E-09,1.748679E-10,1.537659E-11
102.15323,30.25520,0.00000,8.163011E-02,6.274006E-02,4.666901E-02,3.350051E-02,2.307528E-02,1.511685E-02,9.300700E-03,5.290789E-03,2.735051E-03,1.261463E-03,5.091759E-04,1.757174E-04,5.065670E-05,1.138228E-05,1.751266E-06,1.298704E-07,1.878032E-08,3.463867E-09,4.156343E-10,3.411327E-11
102.15366,30.39010,0.00000,7.667220E-02,5.787291E-02,4.216310E-02,2.952180E-02,1.972859E-02,1.245984E-02,7.343198E-03,3.975273E-03,1.945567E-03,8.454703E-04,3.196496E-04,1.025218E-04,2.692429E-05,5.253179E-06,6.475213E-07,5.499924E-08,1.226662E-08,2.318622E-09,3.024403E-10,2.174283E-11
102.15409,30.52500,0.00000,7.098813E-02,5.266326E-02,3.758981E-02,2.566603E-02,1.662866E-02,1.012123E-02,5.712494E-03,2.948608E-03,1.367849E-03,5.597047E-04,1.969054E-04,5.764423E-05,1.310804E-05,2.085098E-06,1.803574E-07,2.467889E-08,5.283515E-09,9.183555E-10,1.157984E-10,9.406476E-12
102.15453,30.65989,0.00000,6.489377E-02,4.731759E-02,3.308669E-02,2.203479E-02,1.385510E-02,8.140564E-03,4.418049E-03,2.183849E-03,9.651043E-04,3.718219E-04,1.209715E-04,3.138278E-05,5.951448E-06,6.821748E-07,4.679590E-08,9.820696E-09,2.010924E-09,3.535183E-10,5.149259E-11,5.380696E-12
