#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T15:15:31', checksum=1879627532, kind='mean', investigation_time=1.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0050000,poe-0.0070015,poe-0.0098041,poe-0.0137286,poe-0.0192240,poe-0.0269192,poe-0.0376948,poe-0.0527836,poe-0.0739125,poe-0.1034991,poe-0.1449289,poe-0.2029427,poe-0.2841789,poe-0.3979333,poe-0.5572227,poe-0.7802743,poe-1.0926116,poe-1.5299748,poe-2.1424109,poe-3.0000000
100.99339,28.47787,0.00000,3.831448E-03,2.390078E-03,1.410677E-03,7.855875E-04,4.133015E-04,2.067211E-04,9.966930E-05,4.723114E-05,2.241322E-05,1.072517E-05,5.132227E-06,2.393727E-06,1.046799E-06,4.140477E-07,1.420150E-07,3.966585E-08,7.551155E-09,7.918983E-10,0.000000E+00,0.000000E+00
100.99359,28.61277,0.00000,4.400508E-03,2.762659E-03,1.643255E-03,9.230718E-04,4.898373E-04,2.469530E-04,1.199305E-04,5.731302E-05,2.769505E-05,1.382221E-05,7.181471E-06,3.851350E-06,2.058847E-06,1.055609E-06,4.965150E-07,2.051321E-07,7.204618E-08,1.950209E-08,3.864912E-09,9.403678E-11
100.99379,28.74767,0.00000,5.039873E-03,3.177845E-03,1.901882E-03,1.076752E-03,5.763506E-04,2.930183E-04,1.432743E-04,6.894472E-05,3.368440E-05,1.727422E-05,9.506388E-06,5.652802E-06,3.534244E-06,2.221574E-06,1.327106E-06,7.143847E-07,3.327432E-07,1.305519E-07,4.105777E-08,8.461355E-09
100.99399,28.88256,0.00000,5.685148E-03,3.605581E-03,2.173021E-03,1.240177E-03,6.695893E-04,3.432210E-04,1.689948E-04,8.176119E-05,4.019010E-05,2.080404E-05,1.157781E-05,6.887582E-06,4.195007E-06,2.487919E-06,1.371721E-06,6.783247E-07,2.918384E-07,1.059805E-07,3.006373E-08,6.589523E-09
100.99419,29.01746,0.00000,6.373581E-03,4.066014E-03,2.464822E-03,1.415289E-03,7.691067E-04,3.967690E-04,1.964207E-04,9.530998E-05,4.671537E-05,2.383421E-05,1.276804E-05,7.076966E-06,3.898028E-06,2.051331E-06,1.000602E-06,4.395315E-07,1.672847E-07,5.399602E-08,1.337176E-08,2.709429E-09
100.99439,29.15236,0.00000,7.056628E-03,4.526970E-03,2.761435E-03,1.595951E-03,8.726504E-04,4.525705E-04,2.247103E-04,1.088497E-04,5.274345E-05,2.605398E-05,1.310201E-05,6.574009E-06,3.193425E-06,1.470559E-06,6.358594E-07,2.538521E-07,9.059490E-08,2.875798E-08,7.469928E-09,1.118510E-09
100.99460,29.28726,0.00000,7.756427E-03,4.987571E-03,3.052324E-03,1.770966E-03,9.721006E-04,5.057686E-04,2.512937E-04,1.211294E-04,5.776586E-05,2.753369E-05,1.299138E-05,5.895733E-06,2.473198E-06,9.196284E-07,2.909316E-07,7.304062E-08,1.424726E-08,1.391328E-09,4.996004E-15,0.000000E+00
100.99480,29.42216,0.00000,8.423880E-03,5.432839E-03,3.335763E-03,1.941719E-03,1.068671E-03,5.565234E-04,2.758929E-04,1.318914E-04,6.176458E-05,2.853757E-05,1.288951E-05,5.557930E-06,2.215000E-06,7.863429E-07,2.405340E-07,6.215165E-08,1.336955E-08,2.213876E-09,0.000000E+00,0.000000E+00
100.99501,29.55705,0.00000,9.144585E-03,5.895121E-03,3.616651E-03,2.103088E-03,1.155822E-03,6.002611E-04,2.960527E-04,1.401844E-04,6.460198E-05,2.925157E-05,1.303682E-05,5.733553E-06,2.512278E-06,1.120070E-06,5.179694E-07,2.442707E-07,1.083475E-07,4.164896E-08,1.295361E-08,3.047643E-09
100.99522,29.69195,0.00000,9.721509E-03,6.274469E-03,3.851115E-03,2.237959E-03,1.227479E-03,6.350451E-04,3.113522E-04,1.460889E-04,6.653381E-05,2.981476E-05,1.331996E-05,6.052850E-06,2.828585E-06,1.355834E-06,6.487590E-07,2.941215E-07,1.169106E-07,3.805875E-08,9.628019E-09,1.180172E-09
100.99542,29.82685,0.00000,1.029872E-02,6.645530E-03,4.075896E-03,2.364734E-03,1.293075E-03,6.657447E-04,3.240831E-04,1.506102E-04,6.785087E-05,3.011448E-05,1.337106E-05,6.034188E-06,2.737379E-06,1.221110E-06,5.200560E-07,2.013548E-07,6.608242E-08,1.651494E-08,3.151638E-09,0.000000E+00
100.99564,29.96175,0.00000,1.094198E-02,7.030076E-03,4.291457E-03,2.477502E-03,1.347655E-03,6.899544E-04,3.336195E-04,1.538170E-04,6.857163E-05,3.003237E-05,1.303736E-05,5.651104E-06,2.382706E-06,9.552119E-07,3.570454E-07,1.173917E-07,3.139470E-08,6.669032E-09,7.160254E-10,0.000000E+00
100.99585,30.09665,0.00000,1.149388E-02,7.369942E-03,4.484233E-03,2.577567E-03,1.395016E-03,7.102521E-04,3.413201E-04,1.561470E-04,6.883498E-05,2.956102E-05,1.237598E-05,5.034699E-06,1.917336E-06,6.663593E-07,2.072245E-07,5.309528E-08,1.060855E-08,1.836639E-09,2.334244E-12,0.000000E+00
100.99606,30.23154,0.00000,1.191555E-02,7.610700E-03,4.613732E-03,2.642441E-03,1.424921E-03,7.226767E-04,3.457266E-04,1.571635E-04,6.849627E-05,2.875822E-05,1.153202E-05,4.361425E-06,1.482293E-06,4.347131E-07,1.028703E-07,1.620687E-08,1.079953E-09,0.000000E+00,0.000000E+00,0.000000E+00
100.99628,30.36644,0.00000,1.228008E-02,7.820043E-03,4.724362E-03,2.695773E-03,1.448084E-03,7.315596E-04,3.484784E-04,1.573525E-04,6.770918E-05,2.771992E-05,1.063972E-05,3.753783E-06,1.154164E-06,2.923778E-07,5.311172E-08,4.743190E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99649,30.50134,0.00000,1.259029E-02,8.001966E-03,4.819773E-03,2.739587E-03,1.465490E-03,7.372987E-04,3.495901E-04,1.567275E-04,6.652949E-05,2.653006E-05,9.747549E-06,3.216907E-06,8.993013E-07,1.957392E-07,2.580406E-08,1.033276E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99671,30.63624,0.00000,1.290731E-02,8.162537E-03,4.891157E-03,2.766329E-03,1.473145E-03,7.382637E-04,3.485468E-04,1.551243E-04,6.493363E-05,2.522293E-05,8.886195E-06,2.751010E-06,7.009637E-07,1.293973E-07,1.125647E-08,8.696488E-11,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99693,30.77114,0.00000,1.312367E-02,8.264058E-03,4.929363E-03,2.774857E-03,1.471191E-03,7.343041E-04,3.451327E-04,1.524870E-04,6.295234E-05,2.385302E-05,8.068520E-06,2.348742E-06,5.456545E-07,8.351133E-08,3.997382E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99715,30.90604,0.00000,1.326051E-02,8.320441E-03,4.941699E-03,2.768678E-03,1.461172E-03,7.261568E-04,3.397022E-04,1.490024E-04,6.068530E-05,2.245274E-05,7.309199E-06,2.003818E-06,4.224473E-07,5.195639E-08,1.113941E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99737,31.04094,0.00000,1.341428E-02,8.382297E-03,4.954063E-03,2.760994E-03,1.449488E-03,7.168846E-04,3.335616E-04,1.451516E-04,5.829794E-05,2.107490E-05,6.610077E-06,1.706239E-06,3.237336E-07,3.036886E-08,1.635639E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99760,31.17583,0.00000,1.353586E-02,8.415939E-03,4.945050E-03,2.739384E-03,1.430345E-03,7.039651E-04,3.259561E-04,1.408082E-04,5.583618E-05,1.974349E-05,5.974628E-06,1.450292E-06,2.447648E-07,1.596973E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99782,31.31073,0.00000,1.362009E-02,8.417650E-03,4.916477E-03,2.708353E-03,1.407280E-03,6.897088E-04,3.178473E-04,1.362871E-04,5.336191E-05,1.846872E-05,5.399052E-06,1.231710E-06,1.816900E-07,7.281376E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99805,31.44563,0.00000,1.359038E-02,8.370793E-03,4.868615E-03,2.669764E-03,1.381107E-03,6.740200E-04,3.092008E-04,1.316321E-04,5.091302E-05,1.725992E-05,4.877247E-06,1.045550E-06,1.322438E-07,2.478217E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99828,31.58053,0.00000,1.356644E-02,8.312805E-03,4.809172E-03,2.623776E-03,1.351150E-03,6.568009E-04,2.998549E-04,1.267277E-04,4.844708E-05,1.610907E-05,4.404643E-06,8.873603E-07,9.434298E-08,3.408660E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99850,31.71543,0.00000,1.348901E-02,8.234323E-03,4.741474E-03,2.573497E-03,1.318762E-03,6.380978E-04,2.898824E-04,1.216589E-04,4.600417E-05,1.502356E-05,3.976669E-06,7.528519E-07,6.581918E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99874,31.85032,0.00000,1.339606E-02,8.139592E-03,4.662341E-03,2.517275E-03,1.283830E-03,6.186095E-04,2.796883E-04,1.165501E-04,4.357810E-05,1.399429E-05,3.587792E-06,6.389461E-07,4.586654E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99897,31.98522,0.00000,1.302500E-02,7.911528E-03,4.527411E-03,2.440840E-03,1.242468E-03,5.970608E-04,2.688261E-04,1.112641E-04,4.115990E-05,1.300107E-05,3.232785E-06,5.415245E-07,3.239828E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99921,32.12012,0.00000,1.260072E-02,7.631449E-03,4.354891E-03,2.342401E-03,1.190413E-03,5.712383E-04,2.564956E-04,1.055461E-04,3.867342E-05,1.202876E-05,2.906331E-06,4.596205E-07,2.390983E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99944,32.25502,0.00000,1.214162E-02,7.349426E-03,4.188446E-03,2.248887E-03,1.140743E-03,5.460472E-04,2.442742E-04,9.988474E-05,3.624101E-05,1.109028E-05,2.603834E-06,3.903769E-07,1.908589E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99968,32.38992,0.00000,1.163523E-02,7.036433E-03,4.003815E-03,2.145957E-03,1.086444E-03,5.187101E-04,2.311171E-04,9.387037E-05,3.373705E-05,1.016520E-05,2.321304E-06,3.310748E-07,1.629693E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
100.99992,32.52481,0.00000,1.118463E-02,6.750428E-03,3.833145E-03,2.050123E-03,1.035546E-03,4.927784E-04,2.184443E-04,8.800095E-05,3.130675E-05,9.272505E-06,2.058061E-06,2.797829E-07,1.413250E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.14687,28.47787,0.00000,4.310790E-03,2.704425E-03,1.607439E-03,9.022859E-04,4.782343E-04,2.405125E-04,1.161382E-04,5.480148E-05,2.575978E-05,1.213862E-05,5.649397E-06,2.518449E-06,1.021708E-06,3.621710E-07,1.057457E-07,2.258528E-08,2.136244E-09,0.000000E+00,0.000000E+00,0.000000E+00
101.14725,28.61277,0.00000,4.990872E-03,3.152054E-03,1.888975E-03,1.070745E-03,5.735779E-04,2.914521E-04,1.420648E-04,6.781772E-05,3.256197E-05,1.609078E-05,8.191179E-06,4.209467E-06,2.080692E-06,9.452106E-07,3.781676E-07,1.264702E-07,3.275033E-08,5.308434E-09,0.000000E+00,0.000000E+00
101.14765,28.74767,0.00000,5.716263E-03,3.634579E-03,2.196916E-03,1.257980E-03,6.815224E-04,3.502047E-04,1.724611E-04,8.317032E-05,4.058041E-05,2.079729E-05,1.142946E-05,6.701578E-06,4.022946E-06,2.354987E-06,1.280535E-06,6.179490E-07,2.545467E-07,8.561293E-08,2.191400E-08,2.826103E-09
101.14805,28.88256,0.00000,6.481626E-03,4.155135E-03,2.533643E-03,1.464511E-03,8.013395E-04,4.159792E-04,2.067819E-04,1.005465E-04,4.960527E-05,2.594908E-05,1.487827E-05,9.361939E-06,6.202192E-06,4.086188E-06,2.534302E-06,1.410116E-06,6.765736E-07,2.713102E-07,8.676421E-08,2.032943E-08
101.14845,29.01746,0.00000,7.266751E-03,4.688632E-03,2.881378E-03,1.680327E-03,9.278952E-04,4.858848E-04,2.429791E-04,1.180798E-04,5.735583E-05,2.884810E-05,1.547403E-05,8.916642E-06,5.358949E-06,3.192245E-06,1.784342E-06,8.929998E-07,3.859890E-07,1.370002E-07,3.786787E-08,6.807355E-09
101.14886,29.15236,0.00000,8.118197E-03,5.258439E-03,3.248971E-03,1.907595E-03,1.061692E-03,5.603764E-04,2.823243E-04,1.379289E-04,6.715131E-05,3.358742E-05,1.761728E-05,9.629919E-06,5.321872E-06,2.860905E-06,1.449664E-06,6.719392E-07,2.753706E-07,9.561260E-08,2.772440E-08,5.595285E-09
101.14926,29.28726,0.00000,8.961922E-03,5.832269E-03,3.622520E-03,2.138868E-03,1.197135E-03,6.349365E-04,3.209181E-04,1.566980E-04,7.571667E-05,3.711401E-05,1.871172E-05,9.618009E-06,4.915898E-06,2.414743E-06,1.103311E-06,4.510909E-07,1.567636E-07,4.550778E-08,9.207842E-09,7.440881E-11
101.14967,29.42216,0.00000,9.829582E-03,6.404260E-03,3.981413E-03,2.352739E-03,1.317637E-03,6.987360E-04,3.522854E-04,1.707961E-04,8.120325E-05,3.869894E-05,1.873897E-05,9.165509E-06,4.403780E-06,2.000585E-06,8.273279E-07,3.005009E-07,9.079883E-08,2.111987E-08,2.852905E-09,9.825474E-14
101.15009,29.55705,0.00000,1.057616E-02,6.907581E-03,4.302309E-03,2.544771E-03,1.424579E-03,7.538869E-04,3.784762E-04,1.820810E-04,8.544260E-05,3.987460E-05,1.876304E-05,8.923382E-06,4.234944E-06,1.964832E-06,8.673505E-07,3.522398E-07,1.259787E-07,3.770639E-08,8.253101E-09,6.995267E-10
101.15051,29.69195,0.00000,1.138735E-02,7.443972E-03,4.637758E-03,2.741092E-03,1.531157E-03,8.068025E-04,4.019581E-04,1.909941E-04,8.788538E-05,3.989824E-05,1.829511E-05,8.720039E-06,4.421002E-06,2.357748E-06,1.267834E-06,6.452038E-07,2.910629E-07,1.104910E-07,3.351665E-08,6.846610E-09
101.15092,29.82685,0.00000,1.218989E-02,7.937269E-03,4.924378E-03,2.897265E-03,1.609796E-03,8.427650E-04,4.163430E-04,1.957493E-04,8.912933E-05,4.026433E-05,1.865196E-05,9.157367E-06,4.785757E-06,2.565665E-06,1.344484E-06,6.524243E-07,2.779848E-07,1.003364E-07,2.844569E-08,6.058634E-09
101.15134,29.96175,0.00000,1.293488E-02,8.395380E-03,5.186345E-03,3.035759E-03,1.676755E-03,8.717538E-04,4.272451E-04,1.991319E-04,8.986185E-05,4.031103E-05,1.850717E-05,8.879248E-06,4.395647E-06,2.171105E-06,1.038007E-06,4.598447E-07,1.790003E-07,5.985061E-08,1.599800E-08,3.229225E-09
101.15176,30.09665,0.00000,1.346830E-02,8.725887E-03,5.377409E-03,3.137149E-03,1.725363E-03,8.922876E-04,4.347243E-04,2.012970E-04,9.011620E-05,3.987695E-05,1.776026E-05,8.019824E-06,3.577668E-06,1.528922E-06,6.141026E-07,2.230268E-07,7.031594E-08,1.909517E-08,4.171064E-09,6.464074E-10
101.15219,30.23154,0.00000,1.399771E-02,9.041130E-03,5.551786E-03,3.225555E-03,1.765749E-03,9.086982E-04,4.404089E-04,2.026769E-04,8.982397E-05,3.892878E-05,1.659608E-05,6.930933E-06,2.733841E-06,9.791104E-07,3.073052E-07,7.726485E-08,1.449911E-08,1.338569E-09,0.000000E+00,0.000000E+00
101.15263,30.36644,0.00000,1.454236E-02,9.354378E-03,5.716206E-03,3.303567E-03,1.798862E-03,9.211816E-04,4.443534E-04,2.031836E-04,8.895758E-05,3.756122E-05,1.523565E-05,5.862887E-06,2.055942E-06,6.268345E-07,1.566020E-07,2.783169E-08,3.226665E-09,0.000000E+00,0.000000E+00,0.000000E+00
101.15305,30.50134,0.00000,1.496000E-02,9.592258E-03,5.839129E-03,3.359409E-03,1.820656E-03,9.279365E-04,4.454116E-04,2.022501E-04,8.735220E-05,3.587586E-05,1.385134E-05,4.929434E-06,1.545828E-06,4.010490E-07,7.593238E-08,7.916396E-09,4.129548E-10,0.000000E+00,0.000000E+00,0.000000E+00
101.15349,30.63624,0.00000,1.530055E-02,9.766078E-03,5.916887E-03,3.387905E-03,1.827561E-03,9.273298E-04,4.430236E-04,1.997070E-04,8.506382E-05,3.399847E-05,1.253826E-05,4.160306E-06,1.179688E-06,2.616157E-07,3.581535E-08,1.659247E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.15393,30.77114,0.00000,1.560297E-02,9.924511E-03,5.984526E-03,3.407836E-03,1.827501E-03,9.220656E-04,4.379677E-04,1.958501E-04,8.224254E-05,3.203550E-05,1.132639E-05,3.525150E-06,9.096514E-07,1.718889E-07,1.607487E-08,1.077501E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.15437,30.90604,0.00000,1.594142E-02,1.007716E-02,6.035665E-03,3.412974E-03,1.818349E-03,9.120185E-04,4.305979E-04,1.910253E-04,7.910195E-05,3.007520E-05,1.022171E-05,2.996911E-06,7.032668E-07,1.111136E-07,6.243927E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.15482,31.04094,0.00000,1.615669E-02,1.016960E-02,6.059226E-03,3.406032E-03,1.803522E-03,8.992353E-04,4.219659E-04,1.856426E-04,7.582707E-05,2.817648E-05,9.227210E-06,2.553389E-06,5.437478E-07,6.947397E-08,1.875749E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.15527,31.17583,0.00000,1.629317E-02,1.020045E-02,6.042393E-03,3.376124E-03,1.777252E-03,8.813589E-04,4.112920E-04,1.795871E-04,7.244613E-05,2.636426E-05,8.341993E-06,2.180497E-06,4.187611E-07,4.125046E-08,2.431897E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.15572,31.31073,0.00000,1.640283E-02,1.022361E-02,6.022998E-03,3.344801E-03,1.750101E-03,8.630403E-04,4.004850E-04,1.735661E-04,6.917453E-05,2.466770E-05,7.557013E-06,1.866857E-06,3.210153E-07,2.266260E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.15617,31.44563,0.00000,1.651487E-02,1.024274E-02,5.998415E-03,3.309235E-03,1.720398E-03,8.433566E-04,3.890100E-04,1.673542E-04,6.595436E-05,2.307920E-05,6.857017E-06,1.601696E-06,2.440619E-07,1.069498E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.15662,31.58053,0.00000,1.658310E-02,1.023261E-02,5.956165E-03,3.264520E-03,1.686301E-03,8.219185E-04,3.770991E-04,1.610847E-04,6.280919E-05,2.158555E-05,6.227933E-06,1.376790E-06,1.847143E-07,3.774061E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.15708,31.71543,0.00000,1.661376E-02,1.019601E-02,5.899477E-03,3.213453E-03,1.650141E-03,7.998974E-04,3.649545E-04,1.548023E-04,5.973598E-05,2.018425E-05,5.658993E-06,1.185713E-06,1.386909E-07,8.727544E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.15755,31.85032,0.00000,1.658100E-02,1.013426E-02,5.832473E-03,3.158031E-03,1.612083E-03,7.772010E-04,3.526964E-04,1.485309E-04,5.670842E-05,1.885889E-05,5.141223E-06,1.023459E-06,1.048870E-07,3.267571E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
101.15801,31.98522,0.00000,1.639353E-02,9.976394E-03,5.714879E-03,3.079731E-03,1.565213E-03,7.514359E-04,3.392981E-04,1.419295E-04,5.365228E-05,1.758208E-05,4.666266E-06,8.846498E-07,8.023287E-08,2.533957E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
