#,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T16:09:23', checksum=1834546322, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
101.99498,28.90622,2.135568E-02,4.013185E-02,3.544499E-02,7.039336E-02,2.094484E-02,3.887916E-02
101.99518,29.04111,2.293103E-02,4.460550E-02,3.930712E-02,8.145355E-02,2.165992E-02,4.099234E-02
101.99538,29.17601,2.546691E-02,5.136348E-02,4.540585E-02,9.803095E-02,2.275177E-02,4.399232E-02
101.99559,29.31091,2.893805E-02,5.981331E-02,5.416411E-02,1.193539E-01,2.423762E-02,4.801189E-02
101.99579,29.44581,3.306907E-02,6.834318E-02,6.438627E-02,1.411012E-01,2.612240E-02,5.281550E-02
101.99600,29.58071,3.789571E-02,7.655903E-02,7.617388E-02,1.608207E-01,2.837453E-02,5.793191E-02
101.99621,29.71561,4.290060E-02,8.507759E-02,8.865591E-02,1.823799E-01,3.106971E-02,6.398827E-02
101.99642,29.85050,5.031395E-02,9.838120E-02,1.066725E-01,2.145648E-01,3.491075E-02,7.253605E-02
101.99663,29.98540,5.744762E-02,1.112074E-01,1.240378E-01,2.464920E-01,3.872866E-02,8.017643E-02
101.99684,30.12030,6.121890E-02,1.176573E-01,1.336236E-01,2.636044E-01,4.084437E-02,8.437168E-02
101.99705,30.25520,5.980208E-02,1.145679E-01,1.293038E-01,2.544112E-01,4.048890E-02,8.302438E-02
101.99727,30.39010,5.467748E-02,1.046610E-01,1.152357E-01,2.265456E-01,3.829698E-02,7.767875E-02
101.99749,30.52500,4.943235E-02,9.412388E-02,1.020519E-01,2.005581E-01,3.594004E-02,7.242987E-02
101.99770,30.65989,4.455535E-02,8.479922E-02,8.909295E-02,1.748940E-01,3.369313E-02,6.729111E-02
101.99792,30.79479,4.047000E-02,7.709656E-02,7.847519E-02,1.540566E-01,3.172741E-02,6.293108E-02
101.99815,30.92969,3.753062E-02,7.126889E-02,7.060955E-02,1.387438E-01,3.030197E-02,5.982927E-02
