#,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-30T00:28:48', checksum=421958827, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404
101.79163,29.10646,3.680947E-02,8.581303E-02
101.79184,29.24136,4.205301E-02,9.625991E-02
101.79204,29.37626,4.501098E-02,9.980497E-02
101.79225,29.51115,4.729781E-02,1.027746E-01
101.79245,29.64605,4.967200E-02,1.061629E-01
101.79266,29.78095,5.255911E-02,1.103405E-01
101.79287,29.91585,5.493850E-02,1.142825E-01
101.79308,30.05075,5.668648E-02,1.172408E-01
101.79330,30.18565,5.712277E-02,1.179718E-01
101.79351,30.32054,5.575614E-02,1.158169E-01
101.79373,30.45544,5.160853E-02,1.075498E-01
101.94562,28.97156,3.783238E-02,8.390763E-02
101.94603,29.10646,5.263283E-02,1.876386E-01
101.94643,29.24136,6.223429E-02,1.981803E-01
101.94684,29.37626,6.568781E-02,1.992979E-01
101.94726,29.51115,6.831280E-02,2.005602E-01
101.94767,29.64605,7.113522E-02,2.023747E-01
101.94809,29.78095,7.473354E-02,2.053407E-01
101.94851,29.91585,7.934710E-02,2.096350E-01
101.94893,30.05075,8.269738E-02,2.132339E-01
101.94936,30.18565,8.355447E-02,2.140822E-01
101.94979,30.32054,8.103288E-02,2.113502E-01
101.95022,30.45544,7.361666E-02,2.016388E-01
101.95065,30.59034,5.923545E-02,1.214070E-01
102.09922,28.83666,3.490450E-02,7.152041E-02
102.09982,28.97156,4.761277E-02,1.096562E-01
102.10042,29.10646,6.658377E-02,2.089126E-01
102.10103,29.24136,7.553013E-02,2.161422E-01
102.10165,29.37626,7.882673E-02,2.172813E-01
102.10226,29.51115,8.188928E-02,2.189210E-01
102.10289,29.64605,8.556889E-02,2.214989E-01
102.10351,29.78095,9.010125E-02,2.253827E-01
102.10414,29.91585,9.694213E-02,2.331489E-01
102.10478,30.05075,1.055475E-01,2.437073E-01
102.10542,30.18565,1.068043E-01,2.453593E-01
102.10606,30.32054,1.009858E-01,2.375249E-01
102.10671,30.45544,9.287051E-02,2.281386E-01
102.10736,30.59034,8.010018E-02,2.068062E-01
102.10802,30.72524,6.418800E-02,1.287134E-01
102.10868,30.86014,5.558440E-02,1.112810E-01
102.25321,28.83666,4.406675E-02,1.022473E-01
102.25401,28.97156,6.143188E-02,1.956695E-01
